timestamp,open,high,low,close,volume
2025-12-18 20:45:00,85013.54,85100.0,84574.17,84582.65,557.17696
2025-12-18 21:00:00,84582.64,85286.22,84559.21,85159.52,364.31128
2025-12-18 21:15:00,85159.53,85466.69,85101.16,85460.9,228.1663
2025-12-18 21:30:00,85460.89,85835.9,85224.43,85315.86,278.59835
2025-12-18 21:45:00,85315.86,85717.04,85274.0,85630.95,128.81948
2025-12-18 22:00:00,85630.96,85750.85,85364.0,85390.17,95.11371
2025-12-18 22:15:00,85390.16,85522.17,85288.01,85500.01,113.10832
2025-12-18 22:30:00,85500.01,85718.17,85491.46,85588.11,137.81972
2025-12-18 22:45:00,85588.1,85725.61,85501.89,85582.88,63.39326
2025-12-18 23:00:00,85582.89,85619.99,85322.07,85619.98,98.14949
2025-12-18 23:15:00,85619.99,85619.99,85372.85,85493.48,77.88969
2025-12-18 23:30:00,85493.48,85581.98,85425.04,85488.56,56.65591
2025-12-18 23:45:00,85488.55,85522.17,85337.32,85516.41,65.60031
2025-12-19 00:00:00,85516.41,85596.56,85411.24,85494.22,71.20187
2025-12-19 00:15:00,85494.23,85564.04,85410.31,85420.42,67.51794
2025-12-19 00:30:00,85420.43,85461.01,85295.2,85300.33,111.48379
2025-12-19 00:45:00,85300.33,85604.88,85300.33,85604.88,68.50237
2025-12-19 01:00:00,85604.88,85604.88,85353.32,85442.0,75.59586
2025-12-19 01:15:00,85441.99,85522.17,85163.44,85167.34,116.9628
2025-12-19 01:30:00,85167.34,85375.0,85120.0,85336.49,73.30986
2025-12-19 01:45:00,85336.5,85404.9,85110.24,85320.43,91.71532
2025-12-19 02:00:00,85320.42,85329.17,85135.39,85234.01,93.17868
2025-12-19 02:15:00,85234.01,85542.89,85206.24,85522.69,101.49021
2025-12-19 02:30:00,85522.69,85617.85,85374.21,85603.27,182.52939
2025-12-19 02:45:00,85603.28,85929.06,85564.0,85643.44,177.30059
2025-12-19 03:00:00,85643.44,86474.24,85610.47,86361.99,568.44283
2025-12-19 03:15:00,86362.0,87155.17,85968.8,87146.04,547.60796
2025-12-19 03:30:00,87146.04,87568.99,86778.25,87041.93,602.54699
2025-12-19 03:45:00,87041.94,87330.26,86700.0,86891.39,362.28255
2025-12-19 04:00:00,86891.39,87380.0,86846.15,87362.39,328.37183
2025-12-19 04:15:00,87362.39,87378.31,87032.6,87049.82,159.79444
2025-12-19 04:30:00,87049.81,87204.89,86964.99,86982.06,120.65981
2025-12-19 04:45:00,86982.06,87125.72,86982.06,87103.34,82.24016
2025-12-19 05:00:00,87103.34,87183.6,86864.38,86992.03,241.53303
2025-12-19 05:15:00,86992.02,86992.03,86744.48,86764.94,156.02016
2025-12-19 05:30:00,86764.94,86952.35,86647.51,86893.97,225.2842
2025-12-19 05:45:00,86893.98,87223.98,86893.97,87139.95,174.92149
2025-12-19 06:00:00,87139.95,87200.0,87007.34,87045.37,114.04757
2025-12-19 06:15:00,87045.38,87076.29,86907.8,87017.18,96.81712
2025-12-19 06:30:00,87017.18,87124.11,86960.0,87124.1,61.31369
2025-12-19 06:45:00,87124.1,87484.0,87074.31,87483.41,152.30491
2025-12-19 07:00:00,87483.41,88449.06,87473.53,88150.41,1191.71713
2025-12-19 07:15:00,88150.42,88233.94,87816.67,87938.38,303.43468
2025-12-19 07:30:00,87938.38,87973.6,87724.28,87790.29,168.49984
2025-12-19 07:45:00,87790.3,88000.98,87774.74,87953.4,136.63532
2025-12-19 08:00:00,87953.39,88135.08,87859.76,87966.96,161.11734
2025-12-19 08:15:00,87966.96,88016.73,87742.6,87742.6,111.10318
2025-12-19 08:30:00,87742.6,88177.33,87742.6,87938.08,157.78444
2025-12-19 08:45:00,87938.08,88222.0,87930.74,88102.78,129.50273
2025-12-19 09:00:00,88102.78,88112.9,87941.51,87942.61,142.94726
2025-12-19 09:15:00,87942.61,88088.51,87898.36,88028.23,67.95469
2025-12-19 09:30:00,88028.24,88165.27,87952.13,88029.91,84.09337
