timestamp,open,high,low,close,volume,log_return_1,log_return_3,log_return_5,log_return_10,atr,atr_ratio,rsi,rsi_change,macd_histogram,bb_upper,bb_lower,bb_percent_b,volume_ma20,volume_ratio,hour,hour_sin,hour_cos,autocorr,breadth,spread_proxy,future_price,forward_return,label
2025-12-19 05:00:00,87103.34,87183.6,86864.38,86992.03,241.53303,-0.0012787245883362,-0.0006640931721178,0.0011575573017556,0.0160930219101639,403.5962562586424,0.004639462445682,66.96964849968501,-3.139270866686502,76.14275032386962,87746.01190557274,84506.61709442727,0.7672460599805275,208.6533205,1.1575805715490637,5,0.9659258262890684,0.2588190451025207,0.0572421433999672,0.5,0.001,87045.37,0.0006131596193352024,0
2025-12-19 05:15:00,86992.02,86992.03,86744.48,86764.94,156.02016,-0.0026138822436543,-0.0024992674753182,-0.0068622466618296,0.0130099919586585,392.450095097311,0.0045231414335941,61.44203466035513,-7.0247773580521695,36.389029130470135,87802.03465359182,84585.04634640818,0.6776193897640368,213.0784315,0.7322193940591307,5,0.9659258262890684,0.2588190451025207,0.0718917803151185,0.5,0.001,87017.18,0.0029071650369376233,1
2025-12-19 05:30:00,86764.94,86952.35,86647.51,86893.97,225.2842,0.0014860167410259,-0.0024065900909646,-0.0017919586747462,0.0061409913035573,386.1922311617896,0.0044444077208325,63.29579208179832,-6.533152118447639,13.746653480385078,87854.49156473094,84691.95343526907,0.6962814279509169,218.768452,1.0297837642513463,5,0.9659258262890684,0.2588190451025207,0.0892497043945315,0.5,0.001,87124.1,0.0026484001133796125,1
2025-12-19 05:45:00,86893.98,87223.98,86893.97,87139.95,174.92149,0.0028268071396524,0.0016989416370241,0.0018135564053601,-6.98851353740506e-05,382.1792146502328,0.0043858094324157,66.59316391331497,-0.3764845863700401,10.448432840862893,87943.00909081011,84756.94290918988,0.747946513025122,224.089408,0.7805879428268203,5,0.9659258262890684,0.2588190451025207,0.1303341537706801,0.5,0.001,87483.41,0.003941475752510834,1
2025-12-19 06:00:00,87139.95,87200.0,87007.34,87045.37,114.04757,-0.0010859699232414,0.0032268539574369,-0.0006657528745537,3.9520401550817805e-05,368.6421278895022,0.0042350572797783,64.20478271538431,2.762748055029185,-2.309905702314154,87993.43492553807,84866.85407446192,0.6967726181743374,226.0119935,0.5046084866288302,6,1.0,6.123233995736766e-17,0.0615142764882489,0.5,0.001,88150.41,0.012694988831686375,1
2025-12-19 06:15:00,87045.38,87076.29,86907.8,87017.18,96.81712,-0.0003239065525176,0.0014169306638932,0.000289065161265,0.0014466224630205,354.34554732596564,0.0040721331962948,63.474063137288674,0.1782710554903559,-16.086730242794545,87992.2095566838,85053.06344331619,0.6682609441397805,225.00470950000005,0.4302893046778649,6,1.0,6.123233995736766e-17,0.0958185942752652,0.5,0.001,87938.38,0.010586415234325127,1
2025-12-19 06:30:00,87017.18,87124.11,86960.0,87124.1,61.31369,0.0012279686176128,-0.0001819078581462,0.004130916022532,-0.0027313306392975,340.7572939455396,0.0039111714662824,65.09661814507677,-1.4965457682381924,-21.12064869684434,87997.17130125455,85226.86269874546,0.6848469154433559,224.404901,0.2732279452310179,6,1.0,6.123233995736766e-17,0.1000764402270631,0.5,0.001,87790.29,0.007646449145529053,1
2025-12-19 06:45:00,87124.1,87484.0,87074.31,87483.41,152.30491,0.0041156363455359,0.005019698410631,0.006760535627042,0.0049685769522958,345.68105866371553,0.0039513898539587,69.93072321265878,5.725940497274465,-4.255718269048089,88020.20191098706,85420.13008901294,0.7935472757135251,227.4343805,0.6696652883577556,6,1.0,6.123233995736766e-17,0.0887397548761189,0.5,0.001,87953.4,0.005372332880028232,1
2025-12-19 07:00:00,87483.41,88449.06,87473.53,88150.41,1191.71713,0.0075953846086367,0.0129389895717855,0.0115291130960264,0.0133426695013866,390.67026875916434,0.004431859917148,76.45095564299181,12.97689250570314,45.09665548851683,88119.95056444986,85612.02143555015,1.012145253707193,282.361303,4.220539845008435,7,0.9659258262890684,-0.2588190451025206,0.1761836334657354,0.5,0.001,87966.96,-0.002081102061805465,0
2025-12-19 07:15:00,88150.42,88233.94,87816.67,87938.38,303.43468,-0.0024082180639956,0.0093028028901771,0.0102068649552723,0.0095411120807184,392.5702495620814,0.004464151483824,71.1679540867026,6.071335941625819,56.02397092988872,88162.86084374868,85810.68015625131,0.9045647960031854,292.4585265,1.03753063256988,7,0.9659258262890684,-0.2588190451025206,0.0701681303692189,0.5,0.001,87742.6,-0.0022263316654229795,0
