timestamp,open,high,low,close,volume,log_return_1,log_return_3,log_return_5,log_return_10,atr,atr_ratio,rsi,rsi_change,macd_histogram,bb_upper,bb_lower,bb_percent_b,volume_ma20,volume_ratio,hour,hour_sin,hour_cos,autocorr,breadth,spread_proxy
2025-12-19 05:00:00,87103.34,87183.6,86864.38,86992.03,241.53303,-0.0012787245883362649,-0.0006640931721178681,0.0011575573017556257,0.016093021910163947,403.59625625864237,0.004639462445682006,66.96964849968501,-3.139270866686502,76.14275032386962,87746.01190557274,84506.61709442727,0.7672460599805275,208.6533205,1.1575805715490637,5,0.9659258262890683,0.25881904510252074,0.057242143399967284,0.5,0.001
2025-12-19 05:15:00,86992.02,86992.03,86744.48,86764.94,156.02016,-0.0026138822436543477,-0.0024992674753182057,-0.006862246661829604,0.013009991958658528,392.450095097311,0.004523141433594157,61.44203466035513,-7.0247773580521695,36.389029130470135,87802.03465359182,84585.04634640818,0.6776193897640368,213.07843150000002,0.7322193940591307,5,0.9659258262890683,0.25881904510252074,0.07189178031511857,0.5,0.001
2025-12-19 05:30:00,86764.94,86952.35,86647.51,86893.97,225.2842,0.0014860167410259018,-0.0024065900909646387,-0.0017919586747462747,0.006140991303557361,386.1922311617896,0.004444407720832523,63.29579208179832,-6.533152118447639,13.746653480385078,87854.49156473094,84691.95343526907,0.6962814279509169,218.76845200000002,1.0297837642513463,5,0.9659258262890683,0.25881904510252074,0.0892497043945315,0.5,0.001
2025-12-19 05:45:00,86893.98,87223.98,86893.97,87139.95,174.92149,0.00282680713965249,0.0016989416370241622,0.0018135564053601415,-6.98851353740506e-05,382.17921465023284,0.004385809432415704,66.59316391331497,-0.3764845863700401,10.448432840862893,87943.00909081011,84756.94290918988,0.747946513025122,224.089408,0.7805879428268203,5,0.9659258262890683,0.25881904510252074,0.13033415377068014,0.5,0.001
2025-12-19 06:00:00,87139.95,87200.0,87007.34,87045.37,114.04757,-0.0010859699232414481,0.0032268539574369886,-0.0006657528745537082,3.9520401550817805e-05,368.6421278895022,0.004235057279778375,64.20478271538431,2.762748055029185,-2.309905702314154,87993.43492553807,84866.85407446192,0.6967726181743374,226.01199349999996,0.5046084866288302,6,1.0,6.123233995736766e-17,0.061514276488248976,0.5,0.001
2025-12-19 06:15:00,87045.38,87076.29,86907.8,87017.18,96.81712,-0.0003239065525176977,0.0014169306638932195,0.00028906516126502577,0.0014466224630205408,354.34554732596564,0.004072133196294866,63.474063137288674,0.17827105549035593,-16.086730242794545,87992.2095566838,85053.06344331619,0.6682609441397805,225.00470950000005,0.4302893046778649,6,1.0,6.123233995736766e-17,0.09581859427526528,0.5,0.001
2025-12-19 06:30:00,87017.18,87124.11,86960.0,87124.1,61.31369,0.0012279686176128477,-0.00018190785814623192,0.004130916022532052,-0.0027313306392975547,340.7572939455396,0.003911171466282459,65.09661814507677,-1.4965457682381924,-21.12064869684434,87997.17130125455,85226.86269874546,0.6848469154433559,224.40490100000002,0.2732279452310179,6,1.0,6.123233995736766e-17,0.10007644022706311,0.5,0.001
2025-12-19 06:45:00,87124.1,87484.0,87074.31,87483.41,152.30491,0.004115636345535969,0.005019698410631031,0.006760535627042015,0.004968576952295868,345.68105866371553,0.003951389853958774,69.93072321265878,5.725940497274465,-4.255718269048089,88020.20191098706,85420.13008901294,0.7935472757135251,227.4343805,0.6696652883577556,6,1.0,6.123233995736766e-17,0.08873975487611897,0.5,0.001
2025-12-19 07:00:00,87483.41,88449.06,87473.53,88150.41,1191.71713,0.007595384608636792,0.012938989571785556,0.011529113096026417,0.013342669501386614,390.67026875916434,0.004431859917148024,76.45095564299181,12.976892505703141,45.09665548851683,88119.95056444986,85612.02143555015,1.012145253707193,282.361303,4.220539845008435,7,0.9659258262890683,-0.25881904510252063,0.17618363346573548,0.5,0.001
2025-12-19 07:15:00,88150.42,88233.94,87816.67,87938.38,303.43468,-0.0024082180639956596,0.009302802890177127,0.010206864955272352,0.009541112080718483,392.5702495620814,0.00446415148382403,71.1679540867026,6.071335941625819,56.02397092988872,88162.86084374868,85810.68015625131,0.9045647960031854,292.4585265,1.03753063256988,7,0.9659258262890683,-0.25881904510252063,0.07016813036921898,0.5,0.001
2025-12-19 07:30:00,87938.38,87973.6,87724.28,87790.29,168.49984,-0.0016854396616863465,0.003501726882954793,0.008845331846103506,0.009134397007368459,382.3380888790761,0.004355129580721013,67.65162774753409,-2.2790954651246835,46.24718776605823,88136.15607756503,86056.08692243496,0.8337237602355545,291.757049,0.577534769348452,7,0.9659258262890683,-0.25881904510252063,0.10955913496719284,0.5,0.001
2025-12-19 07:45:00,87790.3,88000.98,87774.74,87953.4,136.63532,0.0018562264947776866,-0.002237431230904333,0.009473589723268429,0.013604505745800606,371.18822538771286,0.004220282847368185,69.44249004165678,-7.008465601335033,43.76064211464325,88079.51427918632,86343.72472081368,0.9273447183859311,289.7237855,0.4716054629901969,7,0.9659258262890683,-0.25881904510252063,0.13696469816292509,0.5,0.001
2025-12-19 08:00:00,87953.39,88135.08,87859.76,87966.96,161.11734,0.0001541606670980673,0.000324947500189314,0.005512114044830599,0.012272649671872542,364.3404950028767,0.004141787950872426,69.5932007988614,-1.5747532878411903,36.33015395333808,88126.8625254095,86456.87347459048,0.9042493570056238,269.35751100000004,0.5981542500962596,8,0.8660254037844387,-0.4999999999999998,-0.14566397769773615,0.5,0.001
2025-12-19 08:15:00,87966.96,88016.73,87742.6,87742.6,111.10318,-0.002553761126417477,-0.0005433739645417545,-0.004637031690223844,0.006892081405802732,357.8968882169562,0.00407894099578718,63.97131530928379,-3.6803124382503043,10.924114529435883,88176.1172808538,86467.2747191462,0.7463094081525051,247.532272,0.44884321184592846,8,0.8660254037844387,-0.4999999999999998,-0.0726075274497782,0.5,0.001
